=============================================================
Report on testing EasyOCR (2023-01-22 17:25:44.930845):
Accuracy on image num. 623: 85.52%;
Accuracy on image num. 624: 92.83%;
Accuracy on image num. 625: 87.98%;
Accuracy on image num. 626: 94.44%;
Accuracy on image num. 627: 91.7%;
Accuracy on image num. 628: 93.8%;
Accuracy on image num. 629: 86.28%;
Accuracy on image num. 630: 91.81%;
Accuracy on image num. 631: 91.05%;
Accuracy on image num. 632: 93.4%;
Accuracy on image num. 633: 66.28%;
Accuracy on image num. 634: 89.64%;
Accuracy on image num. 635: 88.47%;
Accuracy on image num. 636: 92.29%;
Accuracy on image num. 637: 94.22%;
Accuracy on image num. 638: 94.3%;
Accuracy on image num. 639: 96.06%;
Accuracy on image num. 640: 91.51%;
Accuracy on image num. 641: 93.85%;
Accuracy on image num. 642: 94.85%;
Accuracy on image num. 643: 62.17%;
Accuracy on image num. 644: 89.3%;
Accuracy on image num. 645: 94.56%;
Accuracy on image num. 646: 94.66%;
Accuracy on image num. 647: 91.88%;
Accuracy on image num. 648: 88.48%;
Accuracy on image num. 649: 80.28%;
Accuracy on image num. 650: 93.94%;
Accuracy on image num. 651: 90.79%;
Accuracy on image num. 652: 89.64%;
Accuracy on image num. 653: 93.53%;
Accuracy on image num. 654: 96.01%;
Accuracy on image num. 655: 94.57%;
Accuracy on image num. 656: 86.36%;
Accuracy on image num. 657: 88.15%;
Accuracy on image num. 658: 91.5%;
Accuracy on image num. 659: 92.4%;
Accuracy on image num. 660: 94.85%;
Accuracy on image num. 661: 96.02%;
Accuracy on image num. 662: 91.85%;
Accuracy on image num. 663: 93.29%;
Accuracy on image num. 664: 90.9%;
Accuracy on image num. 665: 90.44%;
Accuracy on image num. 666: 94.93%;
Accuracy on image num. 667: 96.3%;
Accuracy on image num. 668: 93.42%;
Accuracy on image num. 669: 89.73%;
Accuracy on image num. 670: 95.5%;
Accuracy on image num. 671: 94.57%;
Accuracy on image num. 672: 92.83%;
Accuracy on image num. 673: 93.62%;
Accuracy on image num. 674: 88.99%;
Accuracy on image num. 675: 97.14%;
Accuracy on image num. 676: 80.41%;
Accuracy on image num. 677: 89.72%;
Accuracy on image num. 678: 90.24%;
Accuracy on image num. 679: 82.97%;
Accuracy on image num. 680: 93.46%;
Accuracy on image num. 681: 91.54%;
Accuracy on image num. 682: 96.54%;
Accuracy on image num. 683: 91.81%;
Accuracy on image num. 684: 90.78%;
Accuracy on image num. 685: 93.75%;
Accuracy on image num. 686: 92.92%;
Accuracy on image num. 687: 94.44%;
Accuracy on image num. 688: 81.86%;
Accuracy on image num. 689: 93.76%;
Accuracy on image num. 690: 77.43%;
Accuracy on image num. 691: 86.18%;
Accuracy on image num. 692: 92.99%;
Accuracy on image num. 693: 84.88%;
Accuracy on image num. 694: 90.33%;
Accuracy on image num. 695: 89.87%;
Accuracy on image num. 696: 92.09%;
Accuracy on image num. 697: 88.61%;
Accuracy on image num. 698: 89.4%;
Accuracy on image num. 699: 92.29%;
Accuracy on image num. 700: 94.22%;
Accuracy on image num. 701: 91.09%;
Accuracy on image num. 702: 80.68%;
Accuracy on image num. 703: 85.33%;
Accuracy on image num. 704: 96.89%;
Accuracy on image num. 705: 95.95%;
Accuracy on image num. 706: 93.31%;
Accuracy on image num. 707: 89.47%;
Accuracy on image num. 708: 91.7%;
Accuracy on image num. 709: 92.26%;
Accuracy on image num. 710: 93.38%;
Accuracy on image num. 711: 91.22%;
Accuracy on image num. 712: 93.97%;
Accuracy on image num. 713: 86.32%;
Accuracy on image num. 714: 97.32%;
Accuracy on image num. 715: 94.3%;
Accuracy on image num. 716: 87.33%;
Accuracy on image num. 717: 86.47%;
Accuracy on image num. 718: 97.06%;
Accuracy on image num. 719: 95.85%;
Accuracy on image num. 720: 78.51%;
